,Winner,NTurns
0,B,51
1,B,63
2,B,57
3,B,51
4,B,63
5,C,66
6,C,78
7,B,57
8,C,60
9,B,63
10,B,57
11,B,57
12,C,60
13,C,66
14,B,69
15,C,60
16,B,57
17,B,57
18,B,57
19,C,60
20,B,45
21,B,51
22,B,57
23,B,45
24,B,57
25,B,63
26,B,57
27,B,51
28,C,72
29,B,63
30,C,72
31,C,54
32,B,51
33,B,69
34,B,63
35,B,69
36,B,63
37,B,51
38,B,51
39,C,60
40,C,60
41,B,51
42,C,60
43,B,63
44,B,57
45,C,72
46,B,51
47,C,54
48,C,66
49,B,57
50,B,57
51,C,84
52,C,60
53,C,60
54,C,66
55,C,48
56,B,45
57,B,57
58,B,57
59,B,69
60,B,63
61,B,63
62,B,63
63,B,69
64,B,45
65,B,57
66,B,69
67,B,57
68,B,45
69,B,57
70,B,57
71,B,57
72,B,57
73,C,72
74,B,51
75,B,87
76,C,66
77,B,69
78,C,66
79,B,57
