,Winner,NTurns
0,B,51
1,B,63
2,B,57
3,B,45
4,B,57
5,B,57
6,B,51
7,B,45
8,B,63
9,B,57
10,B,45
11,B,51
12,B,57
13,B,45
14,B,45
15,B,51
16,B,57
17,B,63
18,B,57
19,B,57
20,B,57
21,B,51
22,B,63
23,B,51
24,B,51
25,B,45
26,B,63
27,B,57
28,B,63
29,B,51
30,B,51
31,B,51
32,B,57
33,B,51
34,B,51
35,B,63
36,B,63
37,B,51
38,B,45
39,B,69
40,B,57
41,B,51
42,B,57
43,B,63
44,B,45
45,B,45
46,B,45
47,B,57
48,B,57
49,B,69
50,B,57
51,B,45
52,B,63
53,B,63
54,B,45
55,B,45
56,B,51
57,B,51
58,B,51
59,B,57
60,B,51
61,B,57
62,B,63
63,B,63
64,B,51
65,B,57
66,B,57
67,B,69
68,B,57
69,B,51
70,B,51
71,B,51
72,B,51
73,B,63
74,B,51
75,B,51
76,B,51
77,B,57
78,B,81
79,B,51
