,Winner,NTurns
0,B,63
1,B,57
2,C,60
3,B,57
4,B,45
5,B,57
6,B,63
7,B,63
8,B,63
9,B,57
10,B,57
11,B,63
12,B,45
13,B,69
14,B,63
15,B,57
16,B,69
17,B,69
18,B,45
19,B,51
20,B,57
21,B,57
22,B,51
23,C,60
24,B,57
25,B,51
26,B,57
27,B,57
28,B,51
29,B,57
30,B,69
31,B,57
32,B,57
33,B,63
34,B,57
35,B,69
36,B,57
37,B,57
38,C,60
39,B,57
40,B,51
41,B,51
42,B,51
43,B,63
44,B,57
45,B,57
46,B,57
47,C,72
48,B,63
49,B,57
50,B,63
51,B,51
52,B,63
53,B,63
54,B,51
55,B,45
56,B,45
57,B,75
58,B,63
59,B,63
60,B,57
61,B,57
62,B,57
63,B,45
64,B,63
65,B,63
66,B,63
67,B,69
68,B,63
69,B,51
70,B,63
71,B,69
72,B,63
73,B,57
74,B,69
75,B,57
76,C,72
77,B,45
78,B,51
79,B,57
