,Winner,NTurns
0,B,51
1,B,51
2,B,51
3,B,51
4,B,75
5,B,51
6,B,57
7,B,57
8,C,66
9,B,57
10,B,57
11,B,51
12,B,57
13,B,51
14,B,69
15,B,57
16,C,66
17,B,69
18,C,60
19,B,93
20,B,63
21,B,87
22,C,66
23,C,66
24,B,63
25,B,57
26,B,57
27,B,51
28,B,57
29,C,60
30,B,57
31,C,54
32,B,63
33,B,51
34,B,51
35,B,63
36,B,51
37,B,63
38,B,69
39,B,51
40,B,57
41,C,66
42,B,57
43,B,63
44,B,63
45,C,60
46,B,51
47,C,54
48,C,54
49,B,63
50,C,72
51,C,54
52,C,60
53,B,63
54,B,57
55,B,63
56,B,69
57,B,57
58,B,51
59,B,63
60,B,69
61,B,63
62,B,45
63,B,45
64,C,72
65,B,63
66,B,57
67,B,57
68,B,69
69,B,63
70,B,63
71,B,57
72,C,60
73,B,57
74,B,63
75,B,57
76,B,51
77,B,45
78,B,63
79,B,63
