,Winner,NTurns
0,B,51
1,B,51
2,B,63
3,B,51
4,B,69
5,B,75
6,B,51
7,C,60
8,B,51
9,B,51
10,B,75
11,B,63
12,C,66
13,B,69
14,C,54
15,B,69
16,B,51
17,C,72
18,B,57
19,B,63
20,B,51
21,B,57
22,C,60
23,B,69
24,C,66
25,C,72
26,B,57
27,B,87
28,C,48
29,B,51
30,B,51
31,C,72
32,C,54
33,B,69
34,B,57
35,B,63
36,B,63
37,C,72
38,B,57
39,B,69
40,B,69
41,B,51
42,B,57
43,B,69
44,B,81
45,B,51
46,C,60
47,B,57
48,B,57
49,B,57
50,B,63
51,B,51
52,B,63
53,C,54
54,B,63
55,C,60
56,B,57
57,B,63
58,C,54
59,C,72
60,B,63
61,C,60
62,C,60
63,B,51
64,B,63
65,B,75
66,B,69
67,B,57
68,C,60
69,C,54
70,B,63
71,B,63
72,B,81
73,B,69
74,C,54
75,C,72
76,B,51
77,B,69
78,B,51
79,C,54
