,Winner,NTurns
0,B,57
1,B,57
2,B,75
3,B,63
4,B,69
5,B,57
6,C,72
7,C,66
8,B,57
9,C,54
10,B,57
11,C,48
12,B,69
13,B,69
14,B,57
15,B,69
16,B,63
17,C,60
18,B,69
19,C,66
20,B,69
21,B,51
22,B,63
23,B,57
24,B,57
25,B,51
26,B,93
27,B,57
28,C,54
29,B,45
30,B,57
31,C,66
32,B,57
33,B,57
34,B,57
35,B,75
36,B,75
37,B,57
38,B,57
39,B,63
40,B,63
41,B,57
42,B,51
43,B,57
44,B,51
45,C,60
46,B,69
47,B,63
48,B,57
49,C,54
50,B,75
51,B,63
52,C,60
53,C,60
54,B,51
55,B,51
56,B,57
57,B,51
58,B,51
59,C,60
60,B,51
61,C,66
62,B,51
63,B,63
64,B,51
65,B,57
66,C,60
67,C,72
68,B,69
69,B,57
70,B,63
71,B,51
72,B,75
73,B,69
74,B,57
75,B,51
76,C,60
77,B,63
78,C,66
79,B,51
