,Winner,NTurns
0,B,45
1,B,51
2,B,75
3,B,57
4,B,69
5,B,45
6,B,45
7,B,63
8,B,57
9,B,57
10,B,57
11,B,63
12,B,51
13,B,57
14,B,63
15,B,57
16,B,63
17,B,63
18,B,57
19,B,57
20,B,63
21,B,63
22,C,66
23,B,63
24,B,51
25,B,45
26,B,57
27,B,51
28,B,63
29,B,51
30,B,63
31,B,63
32,B,57
33,B,69
34,B,63
35,B,57
36,B,63
37,B,63
38,B,63
39,B,69
40,B,75
41,B,63
42,B,39
43,B,63
44,B,57
45,B,63
46,B,57
47,B,63
48,B,57
49,B,69
50,B,63
51,B,63
52,B,57
53,B,63
54,B,51
55,B,63
56,B,57
57,B,63
58,B,57
59,B,57
60,B,75
61,B,57
62,B,57
63,B,57
64,B,63
65,B,63
66,B,51
67,B,63
68,B,63
69,B,45
70,B,57
71,C,60
72,B,45
73,B,75
74,B,69
75,B,63
76,C,60
77,B,63
78,B,63
79,B,57
