,Winner,NTurns
0,C,60
1,C,60
2,B,69
3,C,54
4,B,57
5,B,45
6,B,57
7,B,45
8,B,69
9,B,69
10,B,57
11,B,51
12,C,78
13,C,60
14,B,51
15,B,57
16,B,75
17,B,51
18,B,75
19,C,60
20,B,63
21,B,63
22,B,45
23,B,57
24,B,51
25,B,63
26,C,60
27,B,81
28,B,51
29,C,66
30,B,63
31,B,57
32,B,63
33,C,72
34,B,69
35,B,69
36,C,66
37,B,63
38,B,69
39,C,48
40,B,75
41,B,51
42,B,63
43,B,51
44,B,51
45,B,51
46,B,51
47,C,72
48,C,60
49,B,57
50,B,57
51,C,60
52,B,57
53,B,63
54,C,66
55,B,51
56,B,51
57,B,51
58,B,69
59,C,66
60,B,51
61,B,69
62,B,51
63,B,81
64,C,66
65,B,45
66,B,45
67,C,60
68,B,69
69,B,51
70,B,69
71,C,60
72,B,63
73,B,51
74,B,63
75,B,57
76,C,54
77,B,51
78,B,57
79,B,63
