,Winner,NTurns
0,C,66
1,C,66
2,C,84
3,C,72
4,C,66
5,C,66
6,C,72
7,C,66
8,C,72
9,C,72
10,C,72
11,C,72
12,C,66
13,C,72
14,C,66
15,C,72
16,C,60
17,C,66
18,C,66
19,C,78
20,C,78
21,C,78
22,C,72
23,C,66
24,C,72
25,C,72
26,C,72
27,C,78
28,C,66
29,C,72
30,C,66
31,C,84
32,C,66
33,C,84
34,C,66
35,C,66
36,C,72
37,C,72
38,C,66
39,C,66
40,C,78
41,C,72
42,C,84
43,C,66
44,C,78
45,C,78
46,C,72
47,C,72
48,C,78
49,C,72
50,C,66
51,C,66
52,C,72
53,C,78
54,C,72
55,C,72
56,C,66
57,C,66
58,C,72
59,C,78
60,C,66
61,C,72
62,C,78
63,C,72
64,C,84
65,C,66
66,C,72
67,C,60
68,C,72
69,C,66
70,C,78
71,C,66
72,C,66
73,C,78
74,C,78
75,C,66
76,C,84
77,C,66
78,C,78
79,C,66
