,Winner,NTurns
0,B,57
1,B,57
2,C,54
3,B,45
4,B,63
5,B,57
6,B,45
7,B,45
8,C,60
9,B,51
10,C,66
11,C,54
12,B,57
13,B,57
14,B,51
15,C,60
16,C,66
17,C,60
18,C,48
19,C,66
20,B,57
21,B,57
22,B,51
23,C,54
24,B,51
25,C,60
26,B,45
27,C,54
28,C,54
29,C,48
30,C,60
31,C,54
32,C,48
33,C,54
34,C,60
35,B,51
36,C,54
37,B,63
38,C,66
39,B,51
40,C,60
41,B,57
42,B,51
43,C,60
44,C,54
45,B,51
46,B,51
47,C,60
48,C,48
49,B,51
50,B,63
51,B,57
52,B,57
53,B,63
54,B,57
55,B,57
56,B,63
57,B,45
58,B,57
59,C,54
60,B,51
61,C,60
62,C,54
63,B,51
64,B,51
65,B,57
66,C,54
67,C,66
68,B,57
69,B,51
70,C,66
71,B,57
72,C,60
73,B,57
74,B,57
75,C,60
76,C,54
77,C,60
78,C,66
79,B,57
