,Winner,NTurns
0,B,51
1,C,54
2,C,60
3,C,60
4,B,51
5,B,51
6,C,60
7,C,54
8,C,60
9,B,57
10,C,54
11,B,57
12,B,63
13,C,66
14,C,54
15,B,45
16,C,60
17,C,60
18,C,54
19,B,51
20,B,57
21,C,60
22,C,66
23,B,51
24,B,57
25,B,57
26,C,54
27,C,60
28,B,57
29,B,57
30,B,57
31,C,66
32,B,51
33,B,63
34,C,60
35,C,60
36,C,54
37,B,57
38,B,51
39,C,60
40,B,57
41,C,60
42,B,63
43,B,45
44,C,72
45,C,60
46,B,45
47,C,60
48,C,60
49,B,57
50,B,57
51,B,51
52,C,66
53,B,63
54,B,51
55,B,51
56,B,57
57,B,57
58,C,60
59,C,48
60,B,63
61,C,54
62,B,51
63,B,57
64,C,60
65,C,54
66,C,60
67,C,66
68,B,63
69,B,51
70,C,72
71,B,57
72,B,57
73,C,60
74,C,66
75,B,45
76,B,69
77,B,57
78,C,66
79,C,60
