,Winner,NTurns
0,B,51
1,B,51
2,B,51
3,B,51
4,B,45
5,B,45
6,B,57
7,B,45
8,B,51
9,B,51
10,B,45
11,B,63
12,C,54
13,B,45
14,B,51
15,B,51
16,B,51
17,B,57
18,B,51
19,B,51
20,B,51
21,B,57
22,B,45
23,B,57
24,B,51
25,B,45
26,B,45
27,B,63
28,B,51
29,B,57
30,B,57
31,B,51
32,B,45
33,C,60
34,B,51
35,B,63
36,B,57
37,B,51
38,B,57
39,B,45
40,B,45
41,B,51
42,B,63
43,B,51
44,B,45
45,B,57
46,B,51
47,B,57
48,B,51
49,C,66
50,B,51
51,B,57
52,B,51
53,C,54
54,C,60
55,B,51
56,B,57
57,B,45
58,B,57
59,B,45
60,B,45
61,B,57
62,B,51
63,B,51
64,B,45
65,B,57
66,B,57
67,C,66
68,B,57
69,B,45
70,B,51
71,C,66
72,B,51
73,B,51
74,B,63
75,C,60
76,B,51
77,C,54
78,B,57
79,C,54
