,Winner,NTurns
0,B,51
1,B,51
2,B,51
3,B,51
4,B,57
5,B,51
6,B,63
7,B,51
8,B,45
9,B,51
10,B,51
11,C,54
12,B,57
13,B,51
14,B,57
15,B,51
16,B,57
17,B,57
18,B,57
19,B,57
20,B,51
21,B,57
22,B,57
23,B,51
24,B,57
25,B,51
26,B,57
27,B,51
28,B,63
29,B,51
30,B,45
31,B,57
32,B,57
33,B,45
34,B,57
35,B,51
36,B,57
37,B,57
38,B,57
39,B,51
40,B,51
41,B,57
42,B,57
43,B,57
44,B,57
45,B,57
46,B,51
47,B,57
48,B,51
49,B,51
50,B,57
51,B,57
52,B,51
53,B,57
54,B,57
55,B,51
56,B,57
57,B,51
58,B,51
59,B,51
60,B,51
61,B,57
62,B,57
63,B,51
64,B,57
65,B,57
66,B,57
67,B,57
68,B,51
69,B,57
70,B,45
71,B,57
72,B,63
73,B,57
74,B,51
75,B,51
76,B,57
77,B,57
78,B,57
79,B,51
