,Winner,NTurns
0,C,72
1,C,84
2,C,66
3,C,72
4,C,72
5,C,78
6,C,78
7,C,84
8,C,66
9,C,72
10,C,72
11,C,66
12,C,72
13,C,66
14,C,84
15,C,66
16,C,72
17,C,66
18,C,78
19,C,96
20,C,78
21,C,78
22,C,84
23,B,75
24,C,72
25,C,78
26,C,78
27,C,78
28,C,72
29,C,78
30,C,84
31,C,78
32,C,72
33,C,72
34,C,72
35,C,84
36,B,69
37,C,72
38,C,84
39,C,78
40,B,69
41,C,78
42,C,78
43,C,72
44,C,72
45,C,78
46,C,78
47,C,72
48,C,72
49,C,72
50,C,72
51,C,66
52,B,75
53,C,66
54,C,72
55,C,78
56,C,90
57,C,72
58,C,72
59,C,90
60,B,69
61,C,78
62,C,78
63,C,72
64,C,72
65,C,84
66,C,72
67,C,78
68,C,78
69,C,72
70,C,78
71,C,72
72,C,78
73,C,72
74,C,72
75,B,81
76,C,72
77,B,75
78,C,84
79,C,78
