,Winner,NTurns
0,C,60
1,B,51
2,B,45
3,C,66
4,C,48
5,C,72
6,C,60
7,B,45
8,B,51
9,C,54
10,C,66
11,C,66
12,C,72
13,B,45
14,B,51
15,C,60
16,C,66
17,C,60
18,B,51
19,B,57
20,C,48
21,C,54
22,B,51
23,B,45
24,B,45
25,B,45
26,C,72
27,C,66
28,B,51
29,B,57
30,C,72
31,B,57
32,B,69
33,B,75
34,B,51
35,B,51
36,B,45
37,C,66
38,C,54
39,C,72
40,B,57
41,B,51
42,B,45
43,B,57
44,B,51
45,B,51
46,C,60
47,B,51
48,C,60
49,C,66
50,C,60
51,B,63
52,B,45
53,B,51
54,B,51
55,C,66
56,C,54
57,B,57
58,B,51
59,C,72
60,B,45
61,C,72
62,C,60
63,B,45
64,C,60
65,B,45
66,B,57
67,C,60
68,B,45
69,C,66
70,C,54
71,C,66
72,C,72
73,C,66
74,C,66
75,C,66
76,C,78
77,C,60
78,B,51
79,B,69
