,Winner,NTurns
0,B,57
1,B,45
2,C,60
3,B,51
4,B,51
5,B,51
6,B,51
7,B,51
8,C,60
9,C,66
10,B,51
11,B,51
12,C,72
13,B,51
14,B,51
15,B,51
16,B,69
17,C,66
18,C,54
19,B,51
20,B,45
21,C,66
22,B,51
23,B,45
24,B,51
25,C,54
26,B,45
27,B,57
28,B,57
29,B,51
30,C,72
31,C,60
32,B,57
33,B,51
34,B,45
35,C,54
36,B,51
37,C,60
38,B,57
39,B,51
40,C,48
41,B,51
42,C,54
43,C,60
44,C,54
45,B,51
46,C,66
47,C,48
48,C,60
49,B,51
50,C,60
51,B,45
52,C,60
53,B,45
54,B,45
55,C,66
56,C,66
57,B,51
58,B,45
59,C,66
60,C,66
61,C,78
62,B,45
63,B,69
64,C,66
65,B,51
66,B,57
67,C,66
68,C,66
69,C,78
70,C,66
71,C,60
72,C,54
73,B,51
74,B,51
75,B,51
76,C,66
77,C,66
78,B,45
79,B,45
