,Winner,NTurns
0,B,45
1,B,51
2,B,45
3,B,45
4,B,51
5,B,51
6,C,60
7,B,57
8,B,51
9,B,57
10,B,45
11,B,51
12,B,63
13,C,60
14,B,45
15,C,60
16,B,45
17,B,63
18,B,45
19,B,45
20,B,51
21,B,57
22,B,51
23,B,51
24,B,51
25,B,51
26,B,57
27,C,60
28,B,51
29,B,51
30,C,66
31,B,45
32,B,51
33,C,66
34,B,45
35,B,45
36,B,51
37,B,63
38,B,57
39,B,51
40,B,45
41,B,63
42,C,66
43,B,45
44,B,45
45,B,51
46,B,57
47,B,51
48,B,51
49,B,45
50,B,45
51,B,45
52,B,45
53,B,51
54,B,45
55,B,45
56,B,51
57,C,60
58,C,60
59,B,45
60,C,66
61,C,54
62,C,66
63,B,51
64,C,60
65,B,57
66,B,45
67,C,54
68,B,45
69,C,60
70,B,51
71,C,60
72,B,45
73,B,51
74,B,51
75,C,54
76,B,51
77,C,60
78,B,51
79,B,51
