,Winner,NTurns
0,B,57
1,B,51
2,B,57
3,B,45
4,B,51
5,B,57
6,B,51
7,B,57
8,B,45
9,B,57
10,B,57
11,B,51
12,B,57
13,B,57
14,B,45
15,B,57
16,B,45
17,B,51
18,B,45
19,B,57
20,B,51
21,B,57
22,B,57
23,B,57
24,B,45
25,B,57
26,B,51
27,B,45
28,B,57
29,B,51
30,B,57
31,B,51
32,B,51
33,B,57
34,B,57
35,B,51
36,B,57
37,B,57
38,B,51
39,B,57
40,B,51
41,B,57
42,B,45
43,B,45
44,B,51
45,B,51
46,B,51
47,B,51
48,B,57
49,B,51
50,B,51
51,B,51
52,B,45
53,B,57
54,B,57
55,B,57
56,B,51
57,B,45
58,B,57
59,B,51
60,B,57
61,B,57
62,B,57
63,B,51
64,B,57
65,B,57
66,B,51
67,B,51
68,B,45
69,B,51
70,B,51
71,B,51
72,B,57
73,B,45
74,B,57
75,B,57
76,B,57
77,B,51
78,B,51
79,B,57
