,Winner,NTurns
0,C,66
1,B,45
2,C,60
3,B,45
4,C,72
5,C,66
6,B,51
7,B,45
8,B,51
9,B,51
10,C,72
11,C,54
12,B,51
13,B,51
14,B,57
15,B,45
16,B,51
17,C,60
18,B,51
19,B,51
20,B,51
21,B,45
22,C,54
23,C,60
24,C,66
25,B,45
26,C,72
27,C,72
28,C,66
29,B,45
30,C,72
31,B,57
32,C,54
33,B,45
34,C,66
35,B,51
36,C,72
37,C,60
38,B,57
39,C,66
40,C,66
41,C,54
42,B,57
43,B,57
44,B,57
45,B,57
46,C,54
47,C,66
48,B,51
49,C,48
50,C,78
51,B,51
52,C,66
53,B,45
54,C,72
55,B,45
56,B,57
57,B,63
58,C,54
59,C,78
60,B,45
61,B,51
62,C,72
63,B,81
64,B,45
65,B,57
66,C,84
67,B,51
68,B,51
69,B,57
70,C,66
71,C,66
72,B,51
73,C,48
74,B,45
75,B,51
76,C,66
77,B,57
78,C,66
79,B,45
