,Winner,NTurns
0,B,147
1,C,72
2,B,123
3,C,72
4,B,57
5,B,111
6,B,69
7,B,129
8,C,66
9,B,57
10,B,111
11,B,63
12,B,57
13,B,129
14,C,84
15,B,69
16,C,90
17,C,84
18,C,72
19,C,72
20,C,108
21,B,51
22,C,90
23,C,84
24,C,114
25,B,69
26,C,84
27,C,66
28,B,63
29,B,51
30,C,72
31,C,72
32,C,102
33,C,72
34,B,105
35,C,96
36,B,69
37,C,72
38,C,66
39,B,99
40,C,66
41,C,78
42,C,72
43,C,72
44,B,63
45,C,90
46,C,72
47,C,72
48,C,78
49,C,174
50,B,123
51,C,120
52,C,84
53,B,69
54,C,90
55,C,78
56,C,108
57,C,108
58,C,84
59,B,75
60,C,78
61,B,51
62,C,84
63,B,93
64,C,78
65,C,132
66,C,84
67,C,90
68,C,96
69,C,90
70,C,96
71,C,78
72,C,126
73,C,72
74,B,87
75,B,57
76,C,96
77,C,102
78,B,51
79,C,84
