,Winner,NTurns
0,B,57
1,B,57
2,B,45
3,B,63
4,B,57
5,B,45
6,B,75
7,B,51
8,B,63
9,B,63
10,B,51
11,C,66
12,B,45
13,B,57
14,B,51
15,B,63
16,B,51
17,C,72
18,B,57
19,B,69
20,B,51
21,B,51
22,B,63
23,B,57
24,B,45
25,B,63
26,B,63
27,B,51
28,C,66
29,B,51
30,B,57
31,B,45
32,B,57
33,B,57
34,B,63
35,B,51
36,B,63
37,B,51
38,C,48
39,B,75
40,C,60
41,B,51
42,C,60
43,B,57
44,B,69
45,C,66
46,B,51
47,C,48
48,B,75
49,C,66
50,B,51
51,B,51
52,B,57
53,B,57
54,B,57
55,B,63
56,B,57
57,B,81
58,B,51
59,B,57
60,B,63
61,C,78
62,B,63
63,B,69
64,C,54
65,B,51
66,B,69
67,B,51
68,B,99
69,B,57
70,C,60
71,C,60
72,B,57
73,C,78
74,C,66
75,B,51
76,C,66
77,B,63
78,B,63
79,C,78
