,Winner,NTurns
0,B,51
1,C,66
2,C,66
3,C,54
4,B,45
5,B,57
6,C,54
7,C,72
8,B,51
9,B,45
10,B,57
11,C,60
12,B,63
13,B,51
14,B,75
15,C,72
16,C,66
17,B,57
18,B,63
19,B,63
20,B,69
21,C,66
22,B,69
23,C,60
24,B,51
25,C,72
26,C,66
27,B,57
28,B,63
29,C,72
30,B,63
31,B,51
32,C,48
33,B,57
34,C,66
35,B,69
36,B,81
37,C,54
38,B,51
39,C,66
40,B,51
41,C,60
42,C,60
43,B,51
44,B,51
45,C,54
46,B,69
47,B,63
48,B,69
49,C,60
50,C,54
51,B,75
52,B,57
53,B,63
54,B,57
55,B,63
56,C,60
57,B,57
58,B,51
59,B,57
60,B,63
61,B,57
62,C,72
63,C,60
64,B,45
65,B,51
66,B,51
67,B,75
68,B,63
69,B,57
70,B,51
71,B,57
72,B,51
73,B,57
74,B,63
75,B,63
76,B,63
77,C,54
78,B,87
79,C,66
