,Winner,NTurns
0,B,51
1,B,51
2,B,63
3,B,57
4,B,51
5,B,51
6,B,45
7,B,51
8,B,57
9,B,45
10,C,66
11,B,57
12,B,45
13,B,57
14,B,45
15,B,51
16,B,45
17,B,51
18,B,45
19,B,57
20,B,51
21,B,51
22,B,57
23,B,51
24,B,63
25,B,57
26,B,45
27,B,51
28,B,51
29,B,57
30,B,45
31,B,39
32,B,63
33,B,51
34,B,57
35,B,51
36,B,51
37,B,51
38,B,51
39,B,51
40,B,57
41,B,57
42,B,69
43,B,45
44,B,51
45,B,45
46,B,63
47,B,63
48,B,57
49,B,63
50,B,51
51,B,51
52,B,51
53,B,57
54,B,51
55,B,63
56,B,45
57,B,51
58,B,45
59,B,39
60,B,57
61,B,51
62,B,69
63,B,51
64,B,45
65,B,51
66,B,51
67,B,51
68,B,63
69,B,57
70,B,57
71,B,51
72,B,51
73,B,45
74,B,57
75,B,69
76,B,51
77,B,51
78,B,45
79,B,57
