,Winner,NTurns
0,B,51
1,B,57
2,B,51
3,C,66
4,B,63
5,B,51
6,B,51
7,B,69
8,B,69
9,B,63
10,B,57
11,B,63
12,B,57
13,B,51
14,B,51
15,C,72
16,B,57
17,B,63
18,C,72
19,B,63
20,B,57
21,B,45
22,B,51
23,B,69
24,B,57
25,B,51
26,B,63
27,B,63
28,B,51
29,C,66
30,B,51
31,B,57
32,B,57
33,B,51
34,B,57
35,B,69
36,B,51
37,B,63
38,B,45
39,B,57
40,B,45
41,B,51
42,B,57
43,B,63
44,B,57
45,B,57
46,B,69
47,B,63
48,B,57
49,B,57
50,B,63
51,B,51
52,B,57
53,B,57
54,B,51
55,B,63
56,B,63
57,B,51
58,B,57
59,B,75
60,B,69
61,B,69
62,B,69
63,B,57
64,C,66
65,B,75
66,B,57
67,B,63
68,B,51
69,B,57
70,B,63
71,B,63
72,B,63
73,B,69
74,B,57
75,B,57
76,C,60
77,C,66
78,B,63
79,B,63
