,Winner,NTurns
0,B,51
1,B,63
2,B,57
3,B,57
4,B,45
5,C,60
6,B,69
7,B,51
8,B,51
9,B,51
10,B,51
11,B,51
12,B,57
13,B,63
14,B,63
15,C,60
16,B,57
17,B,45
18,B,39
19,B,51
20,B,57
21,C,72
22,B,39
23,C,60
24,C,72
25,B,63
26,B,63
27,B,63
28,B,51
29,B,51
30,B,57
31,B,81
32,B,57
33,B,51
34,B,57
35,C,54
36,C,60
37,B,57
38,C,60
39,B,63
40,C,66
41,C,72
42,B,57
43,B,69
44,B,57
45,C,54
46,C,66
47,C,60
48,C,66
49,B,75
50,B,57
51,C,84
52,B,63
53,B,57
54,B,57
55,B,51
56,C,54
57,C,60
58,C,60
59,B,51
60,B,63
61,C,66
62,B,69
63,B,51
64,B,75
65,B,57
66,B,51
67,B,57
68,B,57
69,B,81
70,B,51
71,B,57
72,B,75
73,C,96
74,B,75
75,C,48
76,C,60
77,B,69
78,B,63
79,B,57
