,Winner,NTurns
0,B,116
1,B,98
2,B,110
3,C,113
4,B,140
5,B,92
6,C,161
7,C,77
8,B,80
9,C,71
10,B,98
11,C,107
12,C,83
13,C,119
14,C,119
15,C,119
16,B,86
17,B,62
18,B,86
19,B,134
20,B,146
21,B,122
22,C,167
23,B,122
24,B,116
25,B,98
26,B,68
27,C,119
28,B,80
29,C,143
30,B,56
31,B,176
32,B,92
33,C,245
34,B,74
35,B,134
36,C,239
37,B,98
38,B,68
39,C,251
40,C,125
41,C,119
42,C,119
43,C,155
44,B,92
45,C,215
46,C,131
47,C,95
48,B,98
49,B,230
50,C,281
51,B,164
52,B,104
53,C,191
54,C,131
55,C,83
56,C,77
57,C,137
58,C,179
59,B,86
60,B,74
61,B,158
62,C,119
63,B,134
64,C,131
65,C,113
66,B,194
67,B,218
68,B,200
69,C,275
70,C,287
71,C,101
72,B,92
73,B,80
74,C,107
75,B,92
76,C,155
77,C,131
78,C,125
79,C,227
80,B,86
81,C,137
82,B,188
83,C,167
84,C,167
85,C,221
86,B,104
87,C,263
88,B,110
89,B,68
90,C,83
91,C,197
92,C,455
93,C,77
94,C,167
95,C,149
96,C,143
97,C,113
98,B,260
99,B,86
100,C,281
101,C,101
102,B,164
103,B,116
104,B,134
105,D,601
106,B,74
107,B,92
108,B,122
109,C,173
110,B,158
111,C,197
112,C,95
113,C,209
114,C,143
115,C,95
116,C,209
117,B,104
118,C,137
119,C,95
120,C,89
121,B,140
122,B,128
123,C,95
124,B,80
125,B,80
126,C,59
127,B,68
128,C,125
129,B,110
130,C,161
131,C,143
132,C,233
133,B,152
134,C,143
135,C,89
136,C,119
137,C,179
138,B,86
139,B,62
140,B,188
141,B,110
142,B,74
143,C,101
144,B,104
145,C,119
146,B,116
147,B,86
148,B,140
149,C,89
150,B,68
151,B,140
152,B,98
153,B,134
154,C,77
155,B,92
156,B,122
157,C,131
158,C,71
159,B,68
160,C,137
161,B,134
162,B,176
163,B,122
164,C,155
165,C,173
166,C,113
167,B,98
168,C,509
169,C,77
170,B,86
171,C,101
172,C,167
173,C,119
174,B,86
175,C,119
176,C,119
177,B,134
178,B,68
179,C,449
180,C,131
181,B,80
182,C,95
183,C,131
184,B,176
185,B,134
186,B,62
187,C,59
188,B,122
