,Winner,NTurns
0,C,293
1,C,743
2,C,263
3,C,1343
4,C,707
5,C,377
6,C,1127
7,C,113
8,B,530
9,C,815
10,C,899
11,C,575
12,C,545
13,C,2147
14,C,1463
15,C,395
16,C,1523
17,C,461
18,B,1946
19,C,605
20,C,125
21,C,983
22,C,1067
23,C,3749
24,C,515
25,C,701
26,C,593
27,C,383
28,C,575
29,C,1379
30,C,971
31,C,5303
32,B,1400
33,C,983
34,C,899
35,C,995
36,C,1067
37,C,491
38,C,2879
39,C,251
40,C,1355
41,C,2459
42,C,617
43,C,203
44,C,653
45,C,2105
46,C,509
47,C,2351
48,B,386
49,C,593
50,C,131
51,C,479
52,C,2333
53,C,857
54,C,1259
55,C,887
56,C,1493
57,C,107
58,C,3041
59,C,695
60,C,293
61,C,2771
62,C,191
63,C,419
64,C,479
65,C,1421
66,C,893
67,C,2189
68,C,131
69,C,881
70,C,2675
71,C,2363
72,C,209
73,C,563
74,C,3911
75,C,1607
76,C,197
77,C,2045
78,C,2993
79,C,707
80,C,1727
81,C,491
82,C,1841
83,C,869
84,B,536
85,C,3125
86,C,1193
87,C,767
88,C,3611
89,C,5507
90,C,3443
91,C,3557
92,C,659
93,C,1109
94,C,209
95,C,857
96,C,671
97,C,815
98,C,575
99,C,767
100,C,2951
101,C,2267
102,C,1565
103,C,1601
104,C,671
105,C,521
106,B,704
107,C,5375
108,C,2723
109,C,875
110,C,503
111,C,227
112,C,1439
113,C,2477
114,C,389
115,C,203
116,C,491
117,C,797
118,C,5759
119,C,1205
120,C,887
121,C,1583
122,C,533
123,B,698
124,C,503
125,C,317
126,C,413
127,C,977
128,C,3767
129,C,1259
130,C,857
131,C,353
132,C,2003
133,C,1961
134,C,3881
135,C,851
136,C,713
137,C,1295
138,C,3371
139,C,911
140,C,587
141,C,407
142,C,1805
143,C,2033
144,C,407
145,C,1079
146,C,485
147,C,2693
148,C,677
149,C,2039
150,C,1733
151,C,479
152,C,1601
153,C,2165
154,C,353
155,C,821
156,C,2981
157,C,1571
158,C,2045
159,C,623
160,C,119
161,C,1061
162,C,1187
163,C,2393
164,C,803
165,C,449
166,C,2663
167,C,485
168,C,2177
169,C,791
170,C,395
171,B,4478
172,C,1259
173,C,275
174,C,143
175,C,689
176,C,7553
177,C,1811
178,C,215
179,C,1151
180,C,971
181,C,863
182,C,1109
183,C,839
184,C,329
185,C,407
186,C,1985
187,C,1469
188,C,245
189,B,866
190,B,3200
191,C,2561
192,C,2657
193,C,479
194,C,1409
195,C,2807
196,C,365
197,C,365
198,C,1277
199,C,887
200,C,623
201,C,647
202,C,1259
203,C,137
204,C,671
205,C,239
206,C,683
207,C,143
208,C,983
209,C,2573
210,C,761
211,C,1769
212,C,323
213,C,485
214,C,1247
215,C,1529
216,C,2441
217,C,131
218,C,683
219,C,2903
220,C,569
221,C,1661
222,C,2129
223,C,2087
224,C,899
225,B,1418
226,C,173
227,C,149
228,B,1448
229,C,407
230,C,215
231,C,3131
232,C,917
233,C,1079
234,C,2105
235,C,1379
236,C,2513
237,C,1655
238,C,173
239,C,1247
240,C,167
241,C,3233
242,B,2012
243,C,755
244,C,383
245,C,749
246,C,2699
247,C,1583
248,C,845
249,C,305
250,C,125
251,B,56
252,C,167
253,C,497
254,C,1331
255,C,455
256,C,1451
257,C,245
258,B,380
259,B,1400
260,B,542
261,C,335
262,C,743
263,C,1067
264,C,1259
265,C,3245
266,C,929
267,C,785
268,C,1337
269,C,1343
270,C,1583
271,C,1235
272,C,2651
273,C,629
274,C,4751
275,C,779
276,C,1319
277,B,194
278,C,1439
279,C,755
280,C,893
281,C,227
282,C,1457
283,C,341
284,C,737
285,C,131
286,C,857
287,C,995
288,C,755
289,C,863
290,C,1655
291,C,1313
292,C,4823
293,B,830
294,C,785
295,C,143
296,C,2417
297,C,629
298,C,485
299,B,914
300,B,1286
301,C,3533
302,C,1229
303,B,1094
304,C,3077
305,C,929
306,C,341
307,C,209
308,C,203
309,C,2237
310,C,1901
311,C,3443
312,C,947
313,C,3101
314,C,1715
315,B,236
316,C,449
317,B,338
318,C,647
319,C,2471
320,C,1415
321,C,1379
322,C,527
323,C,233
324,C,323
325,C,527
326,C,3029
327,C,143
328,C,1565
329,C,563
330,C,2255
331,C,1073
332,C,341
333,C,1877
334,C,881
335,C,1589
336,C,587
337,C,1919
338,B,254
339,C,6269
340,C,1955
341,C,4277
342,C,89
343,C,1103
344,C,1265
345,C,647
346,C,1181
347,C,3605
348,C,1907
349,C,485
350,C,2975
351,C,731
352,C,2783
353,B,512
354,C,4103
355,C,2267
356,C,1145
357,C,959
358,C,455
359,C,545
360,C,695
361,C,1031
362,C,275
363,C,419
364,C,737
365,C,245
366,C,377
367,C,569
368,C,1619
369,C,4997
370,B,2396
371,C,1427
372,C,275
373,C,995
374,C,731
375,C,677
376,C,215
377,C,2201
378,C,671
379,C,503
380,C,377
381,C,2363
382,C,2273
383,B,488
384,C,2615
385,C,977
386,C,881
387,C,1379
388,C,2213
389,C,4853
390,C,893
391,C,149
392,C,605
393,C,95
394,C,4829
395,C,1103
396,C,179
397,C,239
398,C,155
399,C,1385
400,C,2231
401,C,173
402,C,323
403,C,263
404,C,497
405,C,233
406,C,545
407,C,875
408,C,569
409,C,671
410,C,1439
411,C,197
412,C,1559
413,C,1007
414,C,713
415,C,2819
416,C,1043
417,C,1127
418,C,899
419,C,2357
420,B,1568
421,C,1283
422,C,335
423,C,953
424,B,1088
425,C,731
426,C,143
427,C,533
428,C,3077
429,C,2171
430,C,827
431,C,737
432,C,1679
433,C,353
434,B,2930
435,C,1913
436,B,314
437,B,1508
438,C,1871
439,C,1055
440,C,899
441,C,299
442,C,431
443,C,131
444,C,575
445,C,953
446,C,3623
447,C,3575
448,C,2819
449,C,1967
450,C,5795
451,C,1535
