,Winner,NTurns
0,C,1589
1,C,959
2,C,191
3,C,599
4,C,4031
5,C,1373
6,C,1073
7,C,569
8,C,443
9,C,2159
10,B,1424
11,B,1424
12,B,572
13,C,1097
14,C,239
15,B,806
16,B,242
17,C,5531
18,C,2429
19,C,653
20,C,2267
21,C,953
22,C,2549
23,C,443
24,C,935
25,C,1295
26,C,1619
27,C,881
28,B,692
29,C,2867
30,C,113
31,C,1775
32,C,353
33,C,2291
34,C,737
35,B,788
36,C,1541
37,C,311
38,C,2327
39,C,1769
40,B,308
41,C,2933
42,C,2429
43,C,1241
44,C,599
45,B,1106
46,B,2222
47,B,5264
48,B,362
49,C,143
50,B,200
51,C,239
52,B,1568
53,C,995
54,C,1235
55,C,4901
56,C,713
57,C,2939
58,B,1640
59,C,1157
60,B,2876
61,C,2033
62,C,635
63,C,3635
64,C,233
65,C,4763
66,C,125
67,C,929
68,C,1403
69,C,683
70,C,719
71,C,569
72,B,248
73,C,2471
74,C,299
75,C,2693
76,B,1268
77,C,491
78,C,2783
79,C,2165
80,C,2315
81,B,122
82,B,230
83,B,650
84,B,350
85,C,185
86,C,3299
87,B,974
88,C,1307
89,C,383
90,C,5225
91,B,464
92,C,1049
93,C,257
94,C,179
95,C,1505
96,C,701
97,C,3533
98,B,224
99,C,749
100,C,3305
101,C,1055
102,C,2897
103,C,299
104,C,6899
105,C,1781
106,C,2369
107,C,569
108,C,2585
109,C,2405
110,B,500
111,B,950
112,C,305
113,C,383
114,C,4307
115,C,677
116,B,932
117,C,3311
118,C,599
119,C,3119
120,B,674
121,C,161
122,C,1025
123,C,101
124,C,1139
125,C,2429
126,C,3371
127,B,1250
128,C,2861
129,B,1670
130,C,953
131,C,425
132,C,2363
133,C,1523
134,C,707
135,C,437
136,C,6791
137,C,395
138,C,1151
139,C,683
140,C,701
141,C,1583
142,C,2195
143,C,1439
144,C,455
145,C,893
146,B,410
147,C,305
148,C,839
149,C,2999
150,C,3761
151,C,557
152,C,83
153,C,2549
154,C,911
155,C,1997
156,C,353
157,C,4031
158,C,455
159,B,74
160,C,191
161,C,4145
162,B,254
163,C,1775
164,C,647
165,B,2144
166,C,299
167,B,956
168,C,443
169,C,719
170,C,3173
171,C,191
172,B,2312
173,C,401
174,C,677
175,C,89
176,B,1094
177,C,4289
178,C,2195
179,C,1871
180,C,281
181,C,287
182,B,6182
183,B,518
184,C,1439
185,C,1319
186,C,347
187,C,977
188,C,785
189,B,1130
190,B,8936
191,C,215
192,C,635
193,C,881
194,B,2792
195,C,773
196,B,2846
197,C,3515
198,B,176
199,C,95
200,C,125
201,B,1532
202,C,515
203,C,479
204,C,1985
205,C,305
206,C,5111
207,C,3905
208,C,3647
209,C,1145
210,C,2321
211,C,1601
212,C,443
213,B,1976
214,C,1661
215,C,1001
216,C,179
217,C,305
218,B,3428
219,C,647
220,C,1193
221,B,68
222,C,2897
223,C,293
224,C,1025
225,B,746
226,B,1142
227,C,377
228,C,719
229,C,431
230,C,1469
231,B,530
232,C,2045
233,C,1331
234,C,2279
235,B,1352
236,C,1685
237,C,599
238,C,485
239,C,755
240,C,383
241,C,3425
242,C,2081
243,C,1547
244,C,503
245,B,878
246,C,875
247,C,1649
248,C,2027
249,C,671
250,C,1895
251,C,2075
252,C,4829
253,B,884
254,C,437
255,B,362
256,C,803
257,C,179
258,C,3077
259,C,293
260,C,1943
261,C,977
262,C,1625
263,C,4379
264,C,1109
265,C,4721
266,C,1421
267,C,2651
268,B,1934
269,B,146
270,C,1997
271,B,506
272,C,3029
273,B,2360
274,C,551
275,C,1505
276,C,1289
277,C,1469
278,B,1040
279,C,1331
280,C,2183
281,C,2597
282,C,959
283,C,1337
284,C,2309
285,C,2651
286,C,1277
287,C,179
288,B,1136
289,C,3809
290,C,611
291,C,449
292,C,4403
293,C,713
294,B,1070
295,C,713
296,B,470
297,C,569
298,C,191
299,C,3245
300,B,1634
301,C,509
302,C,1007
303,B,1298
304,C,3365
305,C,1307
306,C,149
307,C,1319
308,C,131
309,C,929
310,C,725
311,C,5945
312,B,650
313,C,257
314,C,2723
315,C,1847
316,C,641
317,C,647
318,C,1565
319,C,185
320,B,560
321,C,2513
322,C,2765
323,C,221
324,C,3779
325,B,224
326,C,2651
327,C,683
328,C,2273
329,C,101
330,B,2126
331,C,437
332,C,1355
333,C,2081
334,C,1217
335,C,1397
336,C,611
337,C,1427
338,C,419
339,B,1064
340,C,251
341,C,563
342,C,1169
343,C,1061
344,C,401
345,C,4133
346,B,2240
347,C,197
348,B,800
349,B,506
350,B,650
351,B,578
352,B,380
353,B,206
354,C,563
355,C,533
356,C,233
357,C,995
358,C,689
359,B,404
360,C,641
361,C,245
362,B,152
363,C,1379
364,C,1805
365,C,773
366,C,287
367,C,779
368,C,863
369,B,206
370,B,806
371,C,797
372,C,2969
373,C,1385
374,B,1310
375,C,2219
376,C,533
377,C,2111
378,C,1601
379,C,1319
380,C,1643
381,C,845
382,C,185
383,B,500
384,C,1019
385,C,473
386,C,701
387,B,4130
388,C,605
389,C,2333
390,C,491
391,C,1379
392,C,1847
393,C,383
394,C,563
395,C,5327
396,C,221
397,C,1343
398,C,2129
399,C,1619
400,C,5087
401,B,380
402,C,2033
403,B,620
404,C,767
405,C,263
406,C,143
407,C,275
408,C,977
409,C,1169
410,C,413
411,C,551
412,C,425
413,C,2345
414,C,1553
415,B,1472
416,B,1094
417,C,2519
418,C,1325
419,C,1247
420,C,203
421,C,2057
422,C,731
423,B,2066
424,C,2921
425,B,140
426,C,7505
427,C,1391
428,C,131
429,C,305
430,C,2873
431,B,338
432,B,290
433,C,497
434,B,656
435,C,2057
436,C,1811
437,C,173
438,C,1829
439,C,395
440,C,1163
441,C,2123
442,C,851
443,C,4991
444,C,2381
445,C,737
446,C,161
447,C,599
448,C,179
449,C,647
450,C,335
451,C,995
452,C,5039
453,B,1214
454,C,293
455,C,989
456,C,413
457,C,3737
458,C,71
459,C,1133
460,B,182
461,C,3923
462,C,839
463,C,4085
464,C,173
465,C,743
466,C,941
467,C,977
468,B,248
469,C,635
470,C,4487
471,C,977
472,B,218
473,C,1619
474,C,1307
475,C,47
476,B,5144
477,C,143
478,B,1556
479,C,917
480,B,2510
481,C,2525
482,C,269
483,B,1640
484,B,824
485,C,935
486,C,1433
487,B,650
488,C,617
489,C,6647
490,C,1097
491,C,1541
492,C,557
493,B,4268
494,C,2015
495,C,503
496,B,350
497,C,1805
498,C,701
499,B,2654
500,B,272
501,B,746
502,C,197
503,C,1049
504,C,779
505,B,878
506,C,455
507,C,281
508,C,2447
509,C,1907
510,C,1937
511,C,1967
512,C,1655
513,B,3206
514,C,839
515,B,1778
516,C,2783
517,B,1310
518,C,197
519,C,2405
520,B,4244
521,C,827
522,B,1628
523,C,407
524,B,914
525,C,521
526,C,1373
527,B,374
528,C,4787
529,C,965
530,C,1337
531,C,863
532,B,2894
533,C,3947
534,B,5258
535,B,1670
536,C,473
537,C,755
538,C,2285
539,C,539
540,C,755
541,C,905
542,C,1865
543,C,695
544,C,407
545,C,755
546,C,509
547,C,509
548,B,122
549,C,503
550,C,2069
551,B,362
552,B,308
553,C,4355
554,C,797
555,B,152
556,C,1673
557,B,182
558,C,1313
559,C,299
560,B,3488
561,C,2057
562,C,2471
563,C,1487
564,C,785
565,B,380
566,C,971
567,C,575
568,C,575
569,C,905
570,B,2846
571,B,1010
572,C,3005
573,C,1787
574,B,1262
575,C,461
576,C,995
577,C,971
578,C,2927
579,C,989
580,C,257
581,C,2375
582,B,2978
583,C,827
584,C,959
585,C,707
586,C,1175
587,C,581
588,C,6359
589,C,725
590,C,323
591,C,1571
592,C,1409
593,B,1040
594,C,1259
595,C,7169
596,B,290
597,C,953
598,B,2624
599,C,1331
600,C,1865
601,C,515
602,C,1187
603,C,119
604,C,833
605,C,1175
606,C,995
607,C,1433
608,C,1211
609,C,941
610,C,233
611,C,1169
612,B,392
613,C,3803
614,C,119
615,C,317
616,C,467
617,C,1433
618,C,7043
619,C,1415
620,C,3239
621,C,3023
622,C,2939
623,C,989
624,C,551
625,C,479
626,B,7454
627,C,1823
628,C,2585
629,C,149
630,C,959
631,B,2276
632,C,3359
633,C,497
634,C,587
635,B,2384
636,B,7034
637,C,2477
638,C,1571
639,C,3047
640,B,2468
641,C,917
642,C,833
643,C,869
644,C,4157
645,B,1280
646,B,746
647,C,2561
648,C,1379
649,C,4289
650,B,830
651,C,971
652,B,1172
653,C,959
654,C,143
655,C,1931
656,B,782
657,B,1382
658,B,1934
659,B,308
660,C,1691
661,C,725
662,C,329
663,C,977
664,C,4169
665,C,1703
666,B,674
667,B,644
668,C,575
669,C,1415
670,C,587
671,B,242
672,B,452
673,C,359
674,C,2015
675,C,503
676,C,2621
677,C,2471
678,C,185
679,C,3173
680,C,2453
681,B,1244
682,B,446
683,C,161
684,C,269
685,C,3029
686,B,2744
687,C,623
688,C,377
689,C,1631
690,C,755
691,B,4670
692,B,476
693,B,338
694,C,3041
695,B,182
696,C,701
697,C,2459
698,B,1556
699,C,281
700,B,1508
701,C,1961
702,C,203
703,C,59
704,C,4235
705,C,1721
706,C,4109
707,C,635
708,C,977
709,C,1541
710,B,182
711,C,89
712,B,4358
713,B,206
714,C,329
715,B,1412
716,B,1820
717,B,2744
718,C,419
719,C,3341
720,C,1115
721,B,6686
722,C,581
723,C,875
724,C,245
725,C,803
726,B,1268
727,B,704
728,C,1877
729,B,224
730,B,182
731,C,791
732,C,449
733,C,419
734,B,1274
735,C,263
736,C,2561
737,C,1229
738,B,1556
739,C,1391
740,C,3641
741,C,683
742,C,3125
743,C,665
744,B,1772
745,C,3125
746,B,134
747,B,488
748,C,1169
749,B,806
750,C,1541
751,C,293
752,B,140
753,B,680
754,C,641
755,C,1115
756,C,521
757,C,2861
758,C,2639
759,B,1316
760,C,1955
761,C,1703
762,C,197
763,C,2267
764,C,689
765,B,1220
766,C,3665
767,B,2720
768,C,2867
769,C,245
770,C,1793
771,B,452
772,B,2270
773,C,3311
774,C,617
775,B,1334
776,C,425
777,C,461
778,C,959
779,B,458
780,C,2333
781,C,1337
782,C,311
783,C,1061
784,C,347
785,C,4301
786,B,680
787,C,1655
788,C,947
789,C,3719
790,C,2609
791,C,1151
792,C,3641
793,C,953
794,C,4535
795,C,617
796,B,470
797,C,593
798,B,848
799,C,197
800,C,311
801,C,3617
802,B,7238
803,B,2858
804,C,473
805,C,611
806,B,980
807,C,3815
808,C,1673
809,C,551
810,C,779
811,C,1457
812,B,680
813,C,965
814,C,305
815,B,1412
816,C,1715
817,C,539
818,C,1367
819,C,3461
820,C,1631
821,B,296
822,C,725
823,C,977
824,B,212
825,B,1400
826,C,1589
827,B,3614
828,C,2813
829,C,953
830,C,3401
831,C,1163
832,B,632
833,C,725
834,C,1223
835,B,398
836,C,545
837,C,509
838,C,965
839,C,3041
840,C,623
841,C,875
842,C,1547
843,C,2807
844,C,935
845,C,947
846,C,3449
847,C,1913
848,B,2636
849,B,818
850,C,1337
851,C,1367
852,C,1835
853,B,488
854,B,4274
855,C,3221
856,C,2879
857,C,425
858,B,614
859,B,3302
860,C,6167
861,B,332
862,C,791
863,C,4943
864,C,623
865,C,2045
866,B,4784
867,C,1883
868,C,3269
869,C,1775
870,C,755
871,C,1061
872,C,2075
873,B,206
874,C,1067
875,C,2291
876,C,827
877,C,8315
878,C,1571
879,B,1664
880,C,299
881,C,203
882,C,2825
883,C,701
884,C,2051
885,C,317
886,C,869
887,C,497
888,C,3035
889,C,2615
890,B,164
891,C,1007
892,B,446
893,C,1661
894,C,665
895,C,3107
896,C,899
897,C,1463
898,B,608
899,C,125
900,B,4388
901,C,611
902,B,5468
903,C,5723
904,C,1037
905,C,191
906,C,2171
907,C,1481
908,C,1421
909,C,4091
910,C,707
911,C,1073
