,Winner,NTurns
0,C,150
1,B,177
2,C,120
3,C,102
4,B,87
5,B,171
6,C,156
7,C,84
8,B,63
9,C,84
10,B,117
11,C,168
12,C,114
13,C,162
14,C,120
15,B,243
16,C,198
17,C,96
18,C,114
19,C,156
20,C,132
21,C,114
22,C,108
23,B,81
24,C,102
25,C,114
26,B,111
27,C,90
28,B,375
29,B,81
30,C,102
31,B,129
32,C,144
33,C,138
34,C,96
35,B,195
36,B,105
37,B,111
38,C,84
39,C,222
40,B,225
41,C,90
42,B,129
43,B,111
44,C,132
45,B,171
46,C,126
47,B,231
48,C,204
49,C,198
50,C,108
51,C,78
52,C,90
53,C,108
54,B,129
55,C,78
56,C,180
57,C,90
58,B,129
59,C,234
60,C,102
61,B,129
62,C,168
63,B,111
64,B,153
65,C,192
66,C,102
67,B,153
68,B,153
69,B,555
70,C,138
71,C,138
72,B,225
73,C,186
74,B,81
75,C,96
76,B,153
77,C,138
78,C,150
79,C,150
80,B,99
81,C,162
82,C,126
83,C,108
84,C,138
85,B,141
86,C,174
87,C,96
88,C,102
89,B,87
90,B,153
91,B,261
92,C,492
93,B,75
94,B,183
95,C,198
96,C,96
97,B,75
98,B,159
99,B,99
100,C,138
101,B,225
102,C,132
103,C,102
104,C,162
105,C,120
106,C,114
107,B,147
108,C,126
109,B,147
110,B,69
111,C,102
112,C,444
113,C,126
114,C,150
115,C,162
116,C,72
117,C,120
118,C,144
119,B,195
120,C,144
121,B,297
122,C,156
123,B,153
124,C,204
125,C,90
126,B,165
127,C,234
128,C,144
129,C,108
130,B,213
131,B,81
132,C,180
133,C,126
134,C,156
135,D,601
136,C,138
137,B,81
138,C,114
139,B,87
140,B,105
141,C,108
142,C,96
143,C,66
144,C,102
145,C,456
146,C,132
147,C,72
148,C,162
149,D,601
150,B,99
151,C,102
152,C,132
153,B,285
154,C,150
155,C,72
156,C,78
157,C,174
158,C,216
159,B,93
160,C,174
161,C,222
162,C,144
163,C,102
164,B,447
165,C,90
166,C,156
167,B,189
168,B,117
169,B,117
170,C,120
171,C,126
172,B,117
173,C,126
174,C,114
175,B,213
176,D,601
177,C,162
178,C,120
179,C,114
180,C,132
181,C,72
182,C,444
183,B,123
184,B,237
185,C,102
186,B,93
187,C,264
188,B,111
189,C,96
190,C,78
191,C,144
192,C,192
193,B,105
194,B,129
195,C,138
196,C,126
197,B,99
198,B,123
199,B,75
