,Winner,NTurns
0,C,102
1,B,51
2,C,78
3,C,102
4,B,93
5,C,72
6,B,105
7,B,117
8,B,93
9,B,159
10,C,84
11,B,63
12,C,120
13,C,102
14,B,129
15,B,87
16,B,57
17,B,57
18,B,147
19,B,87
20,C,174
21,C,216
22,B,75
23,B,105
24,B,99
25,C,78
26,B,81
27,B,51
28,B,225
29,B,135
30,C,162
31,C,90
32,C,96
33,C,108
34,B,75
35,B,105
36,B,111
37,B,111
38,B,111
39,C,90
40,B,105
41,B,147
42,B,111
43,B,69
44,C,162
45,B,45
46,B,141
47,B,135
48,B,51
49,C,132
50,B,105
51,C,180
52,C,108
53,B,45
54,C,72
55,B,75
56,B,93
57,B,183
58,B,63
59,C,150
60,B,57
61,B,93
62,D,601
63,B,75
64,B,87
65,C,66
66,C,60
67,B,99
68,C,96
69,D,601
70,B,69
71,C,120
72,B,69
73,B,111
74,B,453
75,C,186
76,B,51
77,C,258
78,B,57
79,C,258
80,B,129
81,B,99
82,B,93
83,C,90
84,B,75
85,B,141
86,B,105
87,B,81
88,B,75
89,B,63
90,B,105
91,B,69
92,D,601
93,C,120
94,B,69
95,C,84
96,B,87
97,B,75
98,B,69
99,B,93
100,B,75
101,C,144
102,C,60
103,B,87
104,C,108
105,B,159
106,B,117
107,B,147
108,C,102
109,B,135
110,B,369
111,C,60
112,B,87
113,B,81
114,B,75
115,B,93
116,C,174
117,B,63
118,D,601
119,B,147
120,B,63
121,C,72
122,C,96
123,C,90
124,C,318
125,C,96
126,B,63
127,B,75
128,C,120
129,B,111
130,B,165
131,C,414
132,B,81
133,B,69
134,B,99
135,C,324
136,B,69
137,B,45
138,B,141
139,C,138
140,B,81
141,C,456
142,B,69
143,B,51
144,B,105
145,B,159
146,B,171
147,B,117
148,B,75
149,B,75
150,C,462
151,C,72
152,B,159
153,B,111
154,C,66
155,B,81
156,B,153
157,B,105
158,C,222
159,B,177
160,B,75
161,C,162
162,B,69
163,B,129
164,B,183
165,B,159
166,B,75
167,C,84
168,B,111
169,B,75
170,B,105
171,B,81
172,B,57
173,B,51
174,B,99
175,B,69
176,B,81
177,B,87
178,B,153
179,C,48
180,B,117
181,B,81
182,B,165
183,C,66
184,B,315
185,C,156
186,B,99
187,B,87
188,C,504
189,B,75
190,C,72
191,C,372
192,B,111
193,B,75
194,B,537
195,B,75
196,C,552
197,B,111
198,B,75
199,B,423
