,Winner,NTurns
0,B,87
1,B,57
2,B,105
3,B,93
4,B,57
5,C,66
6,B,69
7,B,213
8,C,246
9,B,93
10,C,120
11,B,129
12,C,108
13,B,63
14,B,111
15,B,51
16,B,75
17,B,111
18,B,105
19,B,117
20,B,177
21,B,183
22,C,84
23,C,78
24,B,117
25,D,601
26,B,99
27,D,601
28,C,132
29,B,123
30,C,120
31,B,81
32,B,129
33,C,72
34,C,78
35,B,87
36,B,93
37,B,123
38,B,75
39,B,57
40,D,601
41,B,63
42,B,57
43,B,69
44,B,147
45,B,93
46,B,87
47,C,198
48,B,93
49,B,135
50,B,105
51,B,93
52,C,114
53,C,144
54,B,117
55,B,81
56,B,57
57,B,129
58,C,102
59,B,117
60,C,126
61,B,75
62,B,69
63,B,69
64,B,93
65,B,87
66,C,126
67,C,156
68,B,267
69,C,330
70,D,601
71,B,87
72,D,601
73,C,132
74,C,72
75,C,132
76,B,345
77,C,66
78,B,69
79,D,601
80,C,150
81,C,186
82,B,81
83,B,57
84,B,69
85,D,601
86,D,601
87,C,132
88,B,81
89,B,75
90,B,93
91,B,117
92,B,291
93,B,69
94,B,69
95,B,111
96,B,105
97,C,120
98,B,135
99,B,69
100,B,81
101,D,601
102,B,69
103,B,129
104,B,111
105,B,75
106,B,57
107,C,168
108,B,129
109,B,123
110,B,51
111,B,69
112,C,66
113,C,150
114,D,601
115,B,63
116,B,117
117,C,246
118,D,601
119,D,601
120,C,108
121,C,138
122,B,75
123,B,81
124,B,105
125,D,601
126,B,93
127,C,198
128,D,601
129,B,87
130,B,105
131,B,165
132,B,447
133,B,81
134,D,601
135,C,78
136,B,75
137,B,87
138,C,90
139,D,601
140,C,516
141,C,78
142,B,87
143,C,138
144,B,69
145,B,63
146,B,75
147,B,87
148,C,90
149,B,45
150,B,75
151,D,601
152,B,45
153,B,57
154,D,601
155,B,81
156,D,601
157,B,69
158,B,129
159,B,111
160,C,120
161,C,426
162,B,69
163,B,51
164,B,75
165,D,601
166,B,51
167,B,57
168,B,99
169,C,84
170,B,51
171,B,81
172,B,81
173,D,601
174,C,198
175,C,600
176,B,75
177,B,111
178,B,99
179,B,111
180,D,601
181,B,105
182,B,87
183,C,180
184,B,111
185,B,81
186,B,159
187,C,84
188,D,601
189,B,93
190,B,63
191,B,57
192,B,99
193,B,63
194,D,601
195,B,45
196,B,81
197,D,601
198,B,231
199,B,81
