,Winner,NTurns
0,C,102
1,C,72
2,C,78
3,C,84
4,C,96
5,C,204
6,C,108
7,B,303
8,C,108
9,C,120
10,C,150
11,B,357
12,C,120
13,B,99
14,C,66
15,C,90
16,C,156
17,C,156
18,B,87
19,B,99
20,C,144
21,C,96
22,C,60
23,B,51
24,C,108
25,C,132
26,B,147
27,C,138
28,C,66
29,C,84
30,B,105
31,C,60
32,C,102
33,C,126
34,C,96
35,B,81
36,D,601
37,C,264
38,C,66
39,B,75
40,C,66
41,C,90
42,C,84
43,C,162
44,C,78
45,C,102
46,C,90
47,B,369
48,C,534
49,C,96
50,C,90
51,C,66
52,C,90
53,C,438
54,C,84
55,C,84
56,B,81
57,B,297
58,C,90
59,C,78
60,B,75
61,C,90
62,C,90
63,C,90
64,B,93
65,C,378
66,B,93
67,B,129
68,B,87
69,B,69
70,C,96
71,B,105
72,C,144
73,B,129
74,B,117
75,B,111
76,B,105
77,C,84
78,C,144
79,B,435
80,C,114
81,C,84
82,C,90
83,C,66
84,B,117
85,C,78
86,C,330
87,C,108
88,B,111
89,C,120
90,C,84
91,C,162
92,C,378
93,B,141
94,C,114
95,C,84
96,B,141
97,D,601
98,B,123
99,C,48
100,C,102
101,C,78
102,C,120
103,C,126
104,C,234
105,C,114
106,B,129
107,B,309
108,B,81
109,B,117
110,C,102
111,B,105
112,C,96
113,D,601
114,B,129
115,C,126
116,C,96
117,C,66
118,C,54
119,C,114
120,C,306
121,D,601
122,D,601
123,B,147
124,C,102
125,B,123
126,C,138
127,B,135
128,C,102
129,C,120
130,C,582
131,C,72
132,C,102
133,D,601
134,B,237
135,B,93
136,B,141
137,C,54
138,C,108
139,C,162
140,C,90
141,B,237
142,C,108
143,B,105
144,B,75
145,C,174
146,C,114
147,C,186
148,C,90
149,C,228
150,C,90
151,D,601
152,B,327
153,C,108
154,B,159
155,D,601
156,B,87
157,B,93
158,C,450
159,C,102
160,C,312
161,B,105
162,B,123
163,C,120
164,B,63
165,C,90
166,C,180
167,C,102
168,C,78
169,B,195
170,B,369
171,C,72
172,C,60
173,C,108
174,C,396
175,C,78
176,C,450
177,C,156
178,C,72
179,C,72
180,C,198
181,C,240
182,D,601
183,C,66
184,C,72
185,B,429
186,C,144
187,C,60
188,C,174
189,C,78
190,D,601
191,C,72
192,C,174
193,C,150
194,B,135
195,C,102
196,D,601
197,B,189
198,C,204
199,C,102
