,Winner,NTurns
0,B,87
1,B,57
2,B,75
3,C,120
4,B,237
5,B,57
6,B,63
7,C,90
8,B,57
9,C,228
10,C,282
11,B,69
12,B,81
13,C,168
14,D,601
15,C,66
16,C,60
17,B,45
18,B,69
19,B,57
20,B,69
21,C,66
22,B,63
23,B,51
24,B,87
25,C,72
26,C,102
27,C,60
28,B,45
29,C,108
30,D,601
31,B,45
32,D,601
33,C,96
34,D,601
35,B,75
36,B,69
37,B,69
38,C,114
39,B,63
40,B,39
41,B,75
42,C,78
43,C,60
44,D,601
45,D,601
46,B,45
47,B,39
48,B,93
49,B,45
50,C,90
51,C,78
52,D,601
53,B,45
54,C,96
55,C,84
56,C,48
57,D,601
58,B,81
59,B,69
60,B,69
61,C,60
62,B,69
63,C,78
64,C,78
65,D,601
66,B,51
67,C,240
68,B,63
69,B,87
70,C,102
71,D,601
72,B,57
73,B,87
74,B,111
75,B,57
76,C,72
77,B,123
78,B,87
79,D,601
80,B,75
81,B,81
82,C,60
83,C,198
84,C,132
85,D,601
86,B,63
87,C,84
88,B,69
89,B,75
90,D,601
91,B,69
92,C,114
93,B,69
94,B,69
95,C,222
96,C,330
97,B,75
98,C,78
99,B,57
100,C,60
101,B,87
102,B,63
103,D,601
104,C,84
105,B,63
106,C,318
107,C,432
108,C,90
109,B,81
110,C,558
111,D,601
112,B,201
113,C,72
114,C,78
115,B,99
116,B,69
117,C,78
118,C,72
119,B,63
120,D,601
121,B,45
122,C,72
123,B,69
124,B,51
125,D,601
126,C,90
127,C,138
128,C,72
129,B,99
130,C,384
131,B,177
132,B,51
133,C,66
134,D,601
135,C,66
136,B,69
137,C,84
138,C,108
139,C,252
140,B,69
141,B,33
142,D,601
143,B,63
144,C,60
145,B,63
146,C,78
147,B,75
148,B,75
149,D,601
150,B,219
151,D,601
152,B,75
153,D,601
154,D,601
155,C,84
156,C,204
157,B,93
158,B,75
159,C,180
160,B,63
161,B,69
162,B,111
163,C,162
164,D,601
165,B,63
166,B,99
167,B,69
168,B,63
169,D,601
170,B,63
171,D,601
172,B,63
173,B,75
174,B,81
175,D,601
176,D,601
177,C,90
178,C,108
179,C,126
180,C,54
181,C,96
182,B,147
183,D,601
184,B,51
185,B,39
186,D,601
187,C,54
188,D,601
189,B,105
190,C,72
191,B,63
192,D,601
193,B,75
194,B,57
195,D,601
196,D,601
197,D,601
198,D,601
199,B,75
