,Winner,NTurns
0,B,57
1,C,102
2,C,234
3,B,69
4,B,69
5,D,601
6,B,111
7,B,57
8,C,72
9,C,60
10,C,96
11,C,84
12,C,324
13,C,102
14,B,63
15,C,294
16,B,87
17,B,99
18,C,78
19,B,63
20,D,601
21,B,159
22,C,90
23,B,105
24,B,69
25,B,93
26,C,234
27,B,69
28,B,39
29,C,336
30,C,468
31,C,114
32,B,99
33,C,120
34,B,39
35,D,601
36,B,57
37,C,102
38,C,108
39,B,81
40,C,114
41,C,402
42,C,162
43,D,601
44,B,51
45,B,51
46,C,114
47,C,102
48,D,601
49,B,33
50,B,93
51,B,69
52,B,63
53,B,87
54,B,39
55,B,57
56,B,51
57,D,601
58,B,57
59,C,222
60,B,57
61,B,27
62,D,601
63,C,42
64,D,601
65,C,108
66,B,51
67,C,564
68,C,66
69,B,69
70,D,601
71,B,69
72,D,601
73,D,601
74,B,81
75,C,108
76,C,90
77,B,333
78,B,231
79,B,75
80,B,39
81,C,72
82,C,84
83,C,66
84,B,63
85,C,66
86,D,601
87,B,51
88,B,51
89,B,51
90,B,57
91,B,81
92,B,93
93,D,601
94,B,99
95,B,75
96,D,601
97,B,51
98,D,601
99,D,601
100,D,601
101,D,601
102,C,354
103,B,63
104,B,57
105,C,114
106,B,57
107,C,258
108,B,231
109,B,75
110,B,99
111,B,135
112,B,57
113,D,601
114,D,601
115,C,108
116,B,33
117,B,57
118,D,601
119,B,63
120,B,63
121,B,39
122,D,601
123,B,69
124,B,39
125,C,48
126,D,601
127,B,45
128,C,60
129,B,81
130,D,601
131,B,63
132,B,69
133,B,81
134,B,99
135,B,57
136,D,601
137,B,45
138,D,601
139,D,601
140,B,45
141,B,75
142,B,57
143,C,78
144,D,601
145,C,120
146,B,87
147,D,601
148,D,601
149,C,150
150,C,60
151,B,129
152,D,601
153,B,93
154,B,57
155,B,75
156,B,45
157,B,81
158,B,45
159,D,601
160,B,153
161,D,601
162,C,78
163,D,601
164,B,45
165,B,99
166,B,75
167,D,601
168,B,75
169,B,51
170,B,39
171,D,601
172,B,75
173,D,601
174,D,601
175,B,57
176,B,57
177,D,601
178,B,63
179,B,57
180,B,45
181,C,84
182,C,246
183,B,81
184,D,601
185,D,601
186,C,42
187,B,45
188,D,601
189,D,601
190,D,601
191,B,57
192,B,147
193,D,601
194,C,342
195,D,601
196,B,69
197,D,601
198,D,601
199,C,90
