,Winner,NTurns
0,B,309
1,C,120
2,C,96
3,C,90
4,B,129
5,C,174
6,C,102
7,B,129
8,C,102
9,B,141
10,C,96
11,C,270
12,C,66
13,B,87
14,C,78
15,C,234
16,C,66
17,B,75
18,B,123
19,C,78
20,B,87
21,B,105
22,B,141
23,C,192
24,C,66
25,B,117
26,B,129
27,C,96
28,C,54
29,B,135
30,C,108
31,C,78
32,C,102
33,C,108
34,C,66
35,C,114
36,C,114
37,C,276
38,C,168
39,C,114
40,B,87
41,C,426
42,D,601
43,D,601
44,B,105
45,B,447
46,C,84
47,C,246
48,C,186
49,C,108
50,C,114
51,C,330
52,D,601
53,B,111
54,C,108
55,C,90
56,C,90
57,B,159
58,D,601
59,C,60
60,C,102
61,C,150
62,B,381
63,C,114
64,D,601
65,B,261
66,C,150
67,C,132
68,C,60
69,C,42
70,C,120
71,C,90
72,D,601
73,B,123
74,C,120
75,C,114
76,C,102
77,C,96
78,B,207
79,D,601
80,C,72
81,B,99
82,C,78
83,C,204
84,D,601
85,B,219
86,C,90
87,B,105
88,B,159
89,C,186
90,C,66
91,C,150
92,D,601
93,C,102
94,C,84
95,C,162
96,C,96
97,D,601
98,D,601
99,C,48
100,C,120
101,C,90
102,C,84
103,C,144
104,C,72
105,C,90
106,D,601
107,C,132
108,C,468
109,C,90
110,C,114
111,B,237
112,D,601
113,C,90
114,C,66
115,C,84
116,C,96
117,C,114
118,C,138
119,D,601
120,B,105
121,D,601
122,C,132
123,B,165
124,C,42
125,C,120
126,C,120
127,D,601
128,D,601
129,B,567
130,D,601
131,C,96
132,C,96
133,B,165
134,C,90
135,B,117
136,C,108
137,C,144
138,C,96
139,B,105
140,C,108
141,C,90
142,D,601
143,C,480
144,C,84
145,C,78
146,B,111
147,C,528
148,C,78
149,B,249
150,C,102
151,C,84
152,C,60
153,C,78
154,D,601
155,C,96
156,C,156
157,D,601
158,C,444
159,C,336
160,C,78
161,C,102
162,D,601
163,B,99
164,D,601
165,C,108
166,D,601
167,D,601
168,C,174
169,B,333
170,B,63
171,C,138
172,C,66
173,B,117
174,C,72
175,C,180
176,D,601
177,C,78
178,C,186
179,C,96
180,C,126
181,C,84
182,D,601
183,D,601
184,B,249
185,B,93
186,C,192
187,B,93
188,B,309
189,C,102
190,C,90
191,C,84
192,C,114
193,C,72
194,C,126
195,C,108
196,D,601
197,D,601
198,C,78
199,D,601
