,Winner,NTurns
0,B,189
1,B,45
2,C,36
3,B,63
4,B,75
5,C,156
6,B,87
7,C,588
8,B,69
9,B,93
10,B,153
11,D,601
12,D,601
13,C,300
14,B,69
15,C,258
16,C,84
17,D,601
18,C,192
19,D,601
20,B,57
21,C,126
22,D,601
23,C,66
24,D,601
25,C,546
26,C,420
27,C,120
28,D,601
29,D,601
30,D,601
31,C,54
32,C,84
33,C,108
34,C,66
35,C,108
36,C,138
37,B,153
38,C,60
39,B,63
40,C,84
41,D,601
42,B,51
43,B,75
44,D,601
45,C,108
46,B,75
47,D,601
48,D,601
49,C,72
50,D,601
51,C,84
52,D,601
53,C,126
54,D,601
55,C,78
56,D,601
57,B,201
58,C,108
59,C,102
60,B,75
61,B,87
62,D,601
63,C,66
64,B,453
65,D,601
66,C,114
67,C,480
68,C,66
69,D,601
70,D,601
71,B,213
72,D,601
73,B,105
74,D,601
75,B,57
76,C,174
77,C,192
78,C,126
79,D,601
80,B,153
81,D,601
82,C,78
83,D,601
84,B,93
85,D,601
86,D,601
87,D,601
88,B,75
89,B,81
90,C,570
91,C,102
92,C,126
93,B,105
94,C,360
95,C,84
96,D,601
97,D,601
98,D,601
99,B,153
100,B,129
101,D,601
102,C,96
103,D,601
104,D,601
105,D,601
106,C,66
107,B,45
108,D,601
109,D,601
110,B,129
111,D,601
112,D,601
113,C,102
114,B,93
115,D,601
116,C,174
117,D,601
118,B,99
119,C,54
120,D,601
121,D,601
122,B,345
123,C,378
124,C,60
125,D,601
126,C,150
127,C,186
128,D,601
129,D,601
130,D,601
131,D,601
132,D,601
133,C,462
134,C,354
135,B,57
136,B,69
137,D,601
138,D,601
139,D,601
140,C,78
141,B,147
142,B,195
143,B,165
144,D,601
145,B,81
146,C,144
147,D,601
148,C,330
149,C,132
150,C,102
151,D,601
152,C,174
153,D,601
154,D,601
155,B,63
156,D,601
157,D,601
158,B,117
159,B,129
160,B,279
161,C,216
162,D,601
163,D,601
164,D,601
165,B,597
166,B,363
167,D,601
168,B,93
169,D,601
170,D,601
171,D,601
172,D,601
173,B,117
174,B,117
175,B,273
176,D,601
177,D,601
178,D,601
179,D,601
180,D,601
181,D,601
182,C,48
183,C,222
184,D,601
185,C,78
186,D,601
187,C,72
188,B,111
189,C,72
190,C,252
191,D,601
192,B,147
193,D,601
194,D,601
195,C,132
196,D,601
197,B,579
198,D,601
199,B,69
