,Winner,NTurns
0,C,330
1,D,601
2,C,342
3,C,444
4,D,601
5,C,168
6,D,601
7,D,601
8,C,516
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,D,601
15,D,601
16,D,601
17,D,601
18,D,601
19,D,601
20,D,601
21,D,601
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,D,601
28,D,601
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,D,601
35,B,273
36,D,601
37,D,601
38,D,601
39,C,216
40,D,601
41,D,601
42,D,601
43,D,601
44,C,414
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,C,552
51,D,601
52,D,601
53,D,601
54,B,93
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,B,453
67,D,601
68,D,601
69,D,601
70,C,396
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,C,582
78,D,601
79,C,306
80,D,601
81,C,504
82,D,601
83,D,601
84,D,601
85,D,601
86,D,601
87,D,601
88,D,601
89,D,601
90,D,601
91,C,318
92,D,601
93,D,601
94,C,498
95,D,601
96,D,601
97,D,601
98,D,601
99,D,601
100,D,601
101,D,601
102,D,601
103,D,601
104,D,601
105,C,432
106,D,601
107,D,601
108,C,342
109,D,601
110,B,453
111,D,601
112,D,601
113,C,432
114,D,601
115,D,601
116,D,601
117,C,210
118,D,601
119,D,601
120,D,601
121,C,426
122,D,601
123,D,601
124,D,601
125,D,601
126,D,601
127,C,192
128,D,601
129,D,601
130,D,601
131,D,601
132,D,601
133,D,601
134,D,601
135,D,601
136,D,601
137,D,601
138,D,601
139,D,601
140,D,601
141,D,601
142,C,540
143,D,601
144,D,601
145,D,601
146,D,601
147,D,601
148,D,601
149,D,601
150,D,601
151,D,601
152,B,387
153,D,601
154,D,601
155,D,601
156,D,601
157,D,601
158,D,601
159,D,601
160,D,601
161,D,601
162,D,601
163,D,601
164,D,601
165,D,601
166,D,601
167,D,601
168,D,601
169,D,601
170,D,601
171,D,601
172,B,327
173,D,601
174,D,601
175,D,601
176,D,601
177,D,601
178,D,601
179,D,601
180,C,270
181,D,601
182,D,601
183,D,601
184,D,601
185,D,601
186,D,601
187,D,601
188,D,601
189,D,601
190,D,601
191,D,601
192,D,601
193,D,601
194,C,420
195,C,600
196,D,601
197,D,601
198,C,384
199,C,318
200,D,601
201,C,174
202,D,601
203,B,189
204,B,549
205,D,601
206,D,601
207,D,601
208,D,601
209,D,601
210,D,601
211,D,601
212,D,601
213,D,601
214,D,601
215,D,601
216,C,198
217,D,601
218,D,601
219,D,601
220,C,588
221,D,601
222,D,601
223,D,601
224,D,601
225,D,601
226,D,601
227,D,601
228,D,601
229,D,601
230,D,601
231,D,601
232,D,601
233,D,601
234,D,601
235,C,420
236,C,144
237,D,601
238,D,601
239,D,601
240,D,601
241,D,601
242,C,192
243,D,601
244,D,601
245,D,601
246,D,601
247,B,459
248,D,601
249,D,601
250,D,601
251,D,601
252,D,601
253,D,601
254,D,601
255,C,300
256,D,601
257,D,601
258,D,601
259,D,601
260,D,601
261,C,282
262,D,601
263,D,601
264,D,601
265,D,601
266,D,601
267,C,180
268,D,601
269,D,601
270,C,288
271,D,601
272,D,601
273,D,601
274,D,601
275,D,601
276,D,601
277,D,601
278,D,601
279,D,601
280,D,601
281,D,601
282,C,312
283,D,601
284,D,601
285,D,601
286,D,601
287,C,234
288,D,601
289,D,601
290,D,601
291,D,601
292,D,601
293,D,601
294,D,601
295,D,601
296,D,601
297,C,438
298,C,270
299,D,601
300,C,600
301,D,601
302,C,228
303,C,282
304,D,601
305,D,601
306,D,601
307,D,601
308,D,601
309,D,601
310,D,601
311,D,601
312,D,601
313,D,601
314,D,601
315,D,601
316,D,601
317,D,601
318,D,601
319,D,601
320,D,601
321,D,601
322,D,601
323,D,601
324,D,601
325,B,567
326,D,601
327,D,601
328,C,528
329,D,601
330,D,601
331,D,601
332,D,601
333,C,276
334,D,601
335,D,601
336,D,601
337,D,601
338,D,601
339,D,601
340,D,601
341,D,601
342,D,601
343,C,330
344,D,601
345,D,601
346,D,601
347,D,601
348,D,601
349,C,540
350,D,601
351,C,462
352,D,601
353,D,601
354,D,601
355,D,601
356,B,429
357,D,601
358,D,601
359,D,601
360,D,601
361,D,601
362,D,601
363,D,601
364,C,534
365,D,601
366,D,601
367,D,601
368,D,601
369,D,601
370,D,601
371,D,601
372,D,601
373,C,288
374,D,601
375,D,601
376,D,601
377,D,601
378,D,601
379,B,579
380,D,601
381,D,601
382,D,601
383,D,601
384,D,601
385,D,601
386,D,601
387,D,601
388,C,534
389,D,601
390,C,234
391,D,601
392,C,294
393,D,601
394,D,601
395,C,582
396,C,312
397,D,601
398,D,601
399,C,582
400,D,601
401,D,601
402,D,601
403,D,601
404,D,601
405,D,601
406,D,601
407,D,601
408,D,601
409,D,601
410,D,601
411,D,601
412,D,601
413,D,601
414,D,601
415,D,601
416,D,601
417,D,601
418,D,601
419,C,600
420,D,601
421,D,601
422,C,564
423,B,279
424,D,601
425,D,601
426,D,601
427,D,601
428,D,601
429,D,601
430,D,601
431,D,601
432,D,601
433,D,601
434,D,601
435,D,601
436,D,601
437,D,601
438,D,601
439,D,601
440,D,601
441,D,601
442,D,601
443,C,234
444,D,601
445,D,601
446,D,601
447,D,601
448,C,342
449,D,601
450,C,564
451,D,601
452,C,180
453,D,601
454,B,159
455,D,601
456,D,601
457,D,601
458,D,601
459,D,601
460,D,601
461,D,601
462,D,601
463,C,348
464,D,601
465,B,441
466,D,601
467,D,601
468,D,601
469,D,601
470,C,420
471,D,601
472,D,601
473,D,601
474,D,601
475,C,252
476,C,216
477,D,601
478,D,601
479,D,601
480,D,601
481,D,601
482,D,601
483,D,601
484,D,601
485,D,601
486,D,601
487,D,601
488,D,601
489,D,601
490,D,601
491,D,601
492,D,601
493,D,601
494,D,601
495,D,601
496,D,601
497,D,601
498,D,601
499,D,601
500,D,601
501,D,601
502,C,426
503,C,264
504,D,601
505,D,601
506,D,601
507,D,601
508,D,601
509,D,601
510,D,601
511,C,504
512,D,601
513,D,601
514,D,601
515,D,601
516,D,601
517,C,450
518,C,300
519,D,601
520,D,601
521,C,420
522,D,601
523,D,601
524,D,601
525,B,411
526,D,601
527,B,417
528,D,601
529,D,601
530,C,582
531,D,601
532,D,601
533,D,601
534,B,561
535,D,601
536,D,601
537,D,601
538,D,601
539,D,601
540,D,601
541,D,601
542,D,601
543,D,601
544,C,336
545,D,601
546,D,601
547,D,601
548,D,601
549,D,601
550,C,288
551,D,601
552,D,601
553,D,601
554,D,601
555,D,601
556,D,601
557,D,601
558,D,601
559,D,601
560,D,601
561,D,601
562,D,601
563,D,601
564,C,426
565,D,601
566,C,396
567,D,601
568,C,450
569,D,601
570,D,601
571,D,601
572,D,601
573,D,601
574,D,601
575,D,601
576,D,601
577,D,601
578,D,601
579,C,408
580,C,294
581,D,601
582,D,601
583,C,270
584,D,601
585,D,601
586,D,601
587,C,510
588,D,601
589,C,564
590,D,601
591,D,601
592,D,601
593,D,601
594,D,601
595,D,601
596,B,177
597,D,601
598,C,300
599,D,601
600,D,601
601,D,601
602,C,378
603,B,219
604,D,601
605,D,601
606,D,601
607,D,601
608,D,601
609,D,601
610,D,601
611,D,601
612,D,601
613,D,601
614,C,156
615,D,601
616,D,601
617,D,601
618,D,601
619,D,601
620,D,601
621,B,357
622,D,601
623,D,601
624,C,420
625,B,309
626,D,601
627,D,601
628,D,601
629,D,601
630,D,601
631,D,601
632,D,601
633,D,601
634,D,601
635,D,601
636,C,522
637,C,546
638,B,117
639,D,601
640,D,601
641,D,601
642,D,601
643,D,601
644,D,601
645,D,601
646,D,601
647,D,601
648,C,258
649,D,601
650,D,601
651,D,601
652,D,601
653,D,601
654,D,601
655,D,601
656,D,601
657,C,366
658,D,601
659,D,601
660,D,601
661,C,510
662,B,453
663,D,601
664,D,601
665,D,601
666,D,601
667,D,601
668,D,601
669,D,601
670,D,601
671,D,601
672,D,601
673,D,601
674,D,601
675,D,601
676,D,601
677,C,528
678,D,601
679,C,156
680,D,601
681,D,601
682,D,601
683,D,601
684,D,601
685,D,601
686,D,601
687,D,601
688,C,294
689,B,543
690,D,601
691,D,601
692,D,601
693,D,601
694,D,601
695,D,601
696,D,601
697,D,601
698,D,601
699,D,601
700,D,601
701,D,601
702,D,601
703,D,601
704,D,601
705,C,264
706,D,601
707,D,601
708,C,96
709,D,601
710,D,601
711,B,459
712,D,601
713,D,601
714,D,601
715,D,601
716,D,601
717,D,601
718,D,601
719,C,444
720,D,601
721,C,252
722,D,601
723,D,601
724,D,601
725,D,601
726,D,601
727,D,601
728,C,426
729,C,522
730,D,601
731,D,601
732,D,601
733,D,601
734,D,601
735,D,601
736,D,601
737,C,330
738,D,601
739,C,210
740,D,601
741,D,601
742,D,601
743,D,601
744,C,306
745,D,601
746,D,601
747,C,528
748,D,601
749,D,601
750,D,601
751,D,601
752,D,601
753,C,570
754,D,601
755,D,601
756,C,336
757,D,601
758,D,601
759,D,601
760,C,600
761,D,601
762,D,601
763,D,601
764,D,601
765,D,601
766,D,601
767,C,54
768,D,601
769,D,601
770,D,601
771,D,601
772,D,601
773,D,601
774,D,601
775,D,601
776,B,165
777,D,601
778,D,601
779,D,601
780,D,601
781,C,318
782,D,601
783,D,601
784,C,384
785,D,601
786,D,601
787,C,546
788,D,601
789,D,601
790,D,601
791,D,601
792,D,601
793,C,402
794,D,601
795,D,601
796,D,601
797,D,601
798,D,601
799,D,601
800,D,601
801,D,601
802,D,601
803,C,396
804,D,601
805,D,601
806,B,573
807,D,601
808,D,601
809,D,601
810,D,601
811,D,601
812,D,601
813,D,601
814,D,601
815,C,546
816,D,601
817,D,601
818,D,601
819,D,601
820,D,601
821,B,273
822,C,390
823,D,601
824,C,240
825,B,441
826,D,601
827,D,601
828,D,601
829,D,601
830,D,601
831,D,601
832,D,601
833,D,601
834,D,601
835,D,601
836,D,601
837,D,601
838,D,601
839,B,177
840,C,402
841,D,601
842,D,601
843,D,601
844,D,601
845,D,601
846,D,601
847,D,601
848,D,601
849,D,601
850,D,601
851,D,601
852,D,601
853,D,601
854,D,601
855,C,222
856,D,601
857,C,384
858,D,601
859,D,601
860,D,601
861,D,601
862,D,601
863,D,601
864,D,601
865,D,601
866,B,273
867,D,601
868,D,601
869,D,601
870,D,601
871,D,601
872,D,601
873,D,601
874,D,601
875,D,601
876,D,601
877,D,601
878,C,474
879,D,601
880,D,601
881,D,601
882,D,601
883,D,601
884,D,601
885,D,601
886,C,600
887,D,601
888,D,601
889,C,600
890,D,601
891,D,601
892,D,601
893,D,601
894,D,601
895,D,601
896,D,601
897,D,601
898,D,601
899,D,601
900,D,601
901,D,601
902,D,601
903,D,601
904,D,601
905,D,601
906,D,601
907,D,601
908,D,601
909,D,601
910,D,601
911,D,601
912,C,132
913,D,601
914,D,601
915,D,601
916,D,601
917,C,174
918,D,601
919,D,601
920,D,601
921,D,601
922,D,601
923,D,601
924,D,601
925,D,601
926,D,601
927,D,601
928,C,294
929,D,601
930,C,414
931,D,601
932,D,601
933,D,601
934,D,601
935,D,601
936,D,601
937,D,601
938,D,601
939,D,601
940,D,601
941,D,601
942,D,601
943,D,601
944,C,180
945,D,601
946,C,180
947,C,528
948,D,601
949,D,601
950,D,601
951,C,504
952,D,601
953,D,601
954,D,601
955,D,601
956,B,477
957,D,601
958,D,601
959,D,601
960,C,576
961,D,601
962,D,601
963,D,601
964,D,601
965,D,601
966,D,601
967,C,498
968,C,486
969,D,601
970,D,601
971,D,601
972,C,408
973,D,601
974,D,601
975,D,601
976,C,576
977,D,601
978,D,601
979,D,601
980,C,474
981,B,75
982,D,601
983,D,601
984,D,601
985,D,601
986,D,601
987,D,601
988,D,601
989,D,601
990,D,601
991,D,601
992,D,601
993,D,601
994,D,601
995,D,601
996,D,601
997,D,601
998,D,601
999,D,601
